num_followers,num_stars,forks,num_followings,username,num_repositories,stars_received
9,39,2,45,GauravWalia19,20,0
110,16,297,1,harvitronix,14,649
65,22,102,0,SlapBot,15,773
6,1,0,22,engrravijain,22,0
31,2,52,1,anujshah1003,9,139
2,4,2,7,krshrimali,29,3
1,13,0,36,Aminaba123,1,0
0,9,0,3,eslamalix,13,1
4,5,1,9,ankyyy,5,1
17,157,0,36,Lunaticf,13,9
11000,19,13654,0,jashkenas,16,69020
10800,28,166,0,dhh,21,866
124,1,7,2,adambcomer,1,20
1,0,0,4,rounakarya,4,0
145,62,0,22,bogo,7,5
47,71,17,37,gggodhwani,17,15
71,8,0,0,wbison,7,2
5,65,1,35,guru-DeV-002,28,0
85,8,1,0,sonya,10,0
2,9,0,20,sarthakm1011,9,0
8,119,0,74,Kartikaggarwal98,25,1
14,133,8,145,prakashdanish,21,7
3,6,0,6,Shivank98,11,0
1,1,1,7,abhimanyu891998,13,0
6,3,0,23,arjangupta,9,0
8,12,3,15,animeshkuzur,23,4
3,1,0,7,Invincible-Me,10,0
30,83,8,24,Prakash2403,30,18
370,522,1777,18,rushter,8,10141
156,11,0,5,timabbott,17,1
72,5,24,0,anantb,16,29
0,1,0,1,sukeshperla,2,0
17,1500,0,72,quantumpacket,18,0
1,0,0,12,vipulkumawat,1,0
0,8,1,3,dinesh-bhardwaj,22,0
5,2,0,18,anmolvarshney1993,17,1
0,6,0,14,snowy97,18,0
134,20,10,14,tmylk,28,11
11200,43,12519,0,chrisbanes,16,35754
485,293,211,7,Cyan4973,6,2257
210,95,78,11,arogozhnikov,21,335
227,5,70,5,crm416,30,213
707,5,182,4,lvdmaaten,17,488
77,26,108,11,glenjarvis,16,135
2,12,1,6,vanluwin,6,0
0,2,0,1,judemoon,11,0
5,15,2,15,crowoy,10,2
2,0,1,4,alexaabbas,1,1
0,0,0,2,iRickzen,0,0
15,140,4,50,rsmelo,19,3
4,36,0,8,vinny-palumbo,21,1
1,16,0,20,CryptoSila,1,0
3,0,0,15,anmolsaxena10,3,0
0,35,0,8,anttia,11,0
3,1,0,7,shashwatuttam,3,0
3,24,0,57,aneesh987,10,0
0,1,0,18,abeepathak96,4,0
0,17,0,5,nwth,11,1
4,13,0,29,Vaibhavdixit02,15,0
0,0,0,1,germanynick,4,0
0,2,0,3,anonymous601,5,0
1,6,0,4,OwlBonjour,15,0
4,0,0,17,onelifetolive,6,0
1,25,0,16,Hushengjing,5,4
0,6,0,12,alpha007khatri,8,0
5,6,0,7,rajarahulray,20,1
285,44,371,29,cemoody,24,2021
1,0,0,1,HarveyWoods,0,0
0,1,0,24,andi228,20,0
0,7,0,4,HugoReeves,4,0
352,23,362,11,benfred,11,1517
2,2,1,4,zhoucircle,11,0
1,2,0,83,yngzij,11,0
0,0,0,9,randheerDas,2,1
7,43,0,14,Liban435,1,0
0,1,0,5,jimmyjoseph1295,2,0
0,1,0,1,xinhez,0,0
0,0,0,2,roemvaar,1,0
7,173,0,32,emattiazzi,16,0
0,4,0,1,punkt2,6,1
5,39,0,19,masterrco,11,0
1,10,0,8,cargokhakis,5,0
5,21,0,15,mlaiseca,15,0
0,0,0,1,JoeSaia,4,0
0,8,0,12,AbhilashPal,5,0
0,1,2,1,Septillioner,2,1
